Ticker,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,XOM,^GSPC
AAPL,1.0,0.4601369595619673,0.4293588678794861,0.04433493525718861,0.3173786691269992,0.4127854586049634,0.13740265182927242,0.42331195272746525,0.3744739598167231,0.20948684895376485,0.6673030626269425
AMZN,0.4601369595619673,1.0,0.5361671542173653,-0.16704686602511815,0.3884824369397856,0.5778649993470707,-0.05914931322652932,0.42226974933170985,0.3345080888594779,0.08968016826656447,0.7100137174884258
GOOGL,0.4293588678794861,0.5361671542173653,1.0,-0.0820005421535106,0.2743944633958081,0.42225981097426035,-0.06665928984097705,0.4021361662330939,0.24450536861135347,0.04476088330926297,0.5860681194614771
JNJ,0.04433493525718861,-0.16704686602511815,-0.0820005421535106,1.0,0.0885546059541326,-0.13851622862188923,0.38290212251673317,-0.07985387065294261,0.1987457790365901,0.16048413948568327,0.01289371021629088
JPM,0.3173786691269992,0.3884824369397856,0.2743944633958081,0.0885546059541326,1.0,0.3027629536426808,0.02680845097384152,0.3540846291611648,0.49436037771719893,0.28855783241646404,0.6118202100553691
MSFT,0.4127854586049634,0.5778649993470707,0.42225981097426035,-0.13851622862188923,0.3027629536426808,1.0,-0.08626059818920927,0.3733588657980214,0.2931979810692501,0.008334805508602949,0.6587201573976124
PG,0.13740265182927242,-0.05914931322652932,-0.06665928984097705,0.38290212251673317,0.02680845097384152,-0.08626059818920927,1.0,-0.01477252293082789,0.2613720732771585,0.1270449409470575,0.0840274425628014
TSLA,0.42331195272746525,0.42226974933170985,0.4021361662330939,-0.07985387065294261,0.3540846291611648,0.3733588657980214,-0.01477252293082789,1.0,0.28056231496283834,0.09731298419641417,0.5928719908415314
V,0.3744739598167231,0.3345080888594779,0.24450536861135347,0.1987457790365901,0.49436037771719893,0.2931979810692501,0.2613720732771585,0.28056231496283834,1.0,0.186500660715859,0.5529372801313207
XOM,0.20948684895376485,0.08968016826656447,0.04476088330926297,0.16048413948568327,0.28855783241646404,0.008334805508602949,0.1270449409470575,0.09731298419641417,0.186500660715859,1.0,0.27616748651497797
^GSPC,0.6673030626269425,0.7100137174884258,0.5860681194614771,0.01289371021629088,0.6118202100553691,0.6587201573976124,0.0840274425628014,0.5928719908415314,0.5529372801313207,0.27616748651497797,1.0
