Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,XOM,^GSPC
2024-01-02,183.73130798339844,149.92999267578125,137.03738403320312,149.65977478027344,163.84356689453125,364.5894470214844,140.39462280273438,248.4199981689453,254.56954956054688,94.84712219238281,4742.830078125
2024-01-03,182.3555908203125,148.47000122070312,137.78125,150.5953369140625,163.12945556640625,364.32403564453125,139.54510498046875,238.4499969482422,253.6943359375,95.64400482177734,4704.81005859375
2024-01-04,180.03965759277344,144.57000732421875,135.27195739746094,150.2772216796875,164.21202087402344,361.70904541015625,140.30967712402344,237.92999267578125,255.2971954345703,94.81005096435547,4688.68017578125
2024-01-05,179.31716918945312,145.24000549316406,134.61737060546875,150.74501037597656,165.03591918945312,361.5223388671875,139.148681640625,237.49000549316406,255.37588500976562,95.09730529785156,4697.240234375
2024-01-08,183.65213012695312,149.10000610351562,137.70187377929688,151.1192169189453,164.7964324951172,368.3447570800781,140.34742736816406,240.4499969482422,258.1785583496094,93.51280975341797,4763.5400390625
2024-01-09,183.2364501953125,151.3699951171875,139.79458618164062,151.21278381347656,163.4935302734375,369.4261474609375,140.92320251464844,234.9600067138672,258.9554443359375,92.35455322265625,4756.5
2024-01-10,184.27565002441406,153.72999572753906,141.1136932373047,151.4373016357422,163.83840942382812,376.28790283203125,141.52728271484375,233.94000244140625,260.16497802734375,91.44647979736328,4783.4501953125
2024-01-11,183.6818084716797,155.17999267578125,140.91534423828125,150.76370239257812,163.1486358642578,378.11639404296875,142.0653076171875,227.22000122070312,259.6438293457031,91.42796325683594,4780.240234375
2024-01-12,184.00840759277344,154.6199951171875,141.48065185546875,151.92379760742188,161.95114135742188,381.8913879394531,142.15023803710938,218.88999938964844,259.781494140625,92.61399841308594,4783.830078125
2024-01-16,181.7419891357422,153.16000366210938,141.32196044921875,150.17433166503906,160.93563842773438,383.660888671875,141.3856964111328,219.91000366210938,260.83367919921875,90.51988983154297,4765.97998046875
2024-01-17,180.8017578125,151.7100067138672,140.31031799316406,150.0901336669922,160.07342529296875,382.8744812011719,141.52728271484375,215.5500030517578,262.2005920410156,89.86199188232422,4739.2099609375
2024-01-18,186.69056701660156,153.5,142.3038330078125,150.81985473632812,160.3895721435547,387.199951171875,140.7113800048828,211.8800048828125,263.685546875,89.69520568847656,4780.93994140625
2024-01-19,189.59043884277344,155.33999633789062,145.1800994873047,151.25955200195312,163.158203125,391.9186706542969,140.16995239257812,212.19000244140625,266.399658203125,89.83419036865234,4839.81005859375
2024-01-22,191.89646911621094,154.77999877929688,144.7932891845703,151.99862670898438,162.96661376953125,389.7952575683594,140.44540405273438,208.8000030517578,266.6947021484375,89.71372985839844,4850.43017578125
2024-01-23,193.1732177734375,156.02000427246094,145.83465576171875,149.51007080078125,161.8936309814453,392.144775390625,146.25848388671875,209.13999938964844,266.75372314453125,90.72374725341797,4864.60009765625
2024-01-24,192.5001983642578,156.8699951171875,147.4810791015625,148.71485900878906,163.3402557373047,395.7427978515625,144.49179077148438,207.8300018310547,267.13720703125,92.2896957397461,4868.5498046875
2024-01-25,192.17361450195312,157.75,150.6250762939453,149.27618408203125,165.67776489257812,398.0137023925781,147.81625366210938,182.6300048828125,268.08123779296875,94.63400268554688,4894.16015625
2024-01-26,190.44161987304688,159.1199951171875,150.94244384765625,149.22006225585938,165.04550170898438,397.089599609375,148.3101806640625,183.25,263.4888000488281,95.44013977050781,4890.97021484375
2024-01-29,189.75869750976562,161.25999450683594,152.2516326904297,149.08908081054688,165.4766082763672,402.7815246582031,148.3291778564453,190.92999267578125,269.1138000488281,95.56060028076172,4927.93017578125
2024-01-30,186.10662841796875,159.0,150.21841430664062,148.537109375,168.86795043945312,401.6706848144531,149.59251403808594,191.58999633789062,272.54583740234375,97.15436553955078,4924.97021484375
2024-01-31,182.50405883789062,155.1999969482422,138.95156860351562,148.6587371826172,167.0381317138672,390.8471374511719,149.26004028320312,187.2899932861328,268.7204895019531,95.26409149169922,4845.64990234375
2024-02-01,184.93875122070312,159.27999877929688,140.00286865234375,148.15354919433594,166.43458557128906,396.9421081542969,151.19772338867188,188.86000061035156,272.447509765625,94.87491607666016,4906.18994140625
2024-02-02,183.9391632080078,171.80999755859375,141.212890625,146.5163116455078,167.39259338378906,404.2561340332031,150.16238403320312,187.91000366210938,272.5753173828125,94.48574829101562,4958.60986328125
2024-02-05,185.7503204345703,170.30999755859375,142.50221252441406,145.75852966308594,167.17227172851562,398.7804870605469,150.2764129638672,181.05999755859375,271.0019226074219,94.0965805053711,4942.81005859375
2024-02-06,187.3536834716797,169.14999389648438,142.91879272460938,147.8728790283203,167.7470703125,398.6231384277344,150.98880004882812,185.10000610351562,272.162353515625,94.74518585205078,4954.22998046875
2024-02-07,187.46253967285156,170.52999877929688,144.3469696044922,147.79800415039062,168.06320190429688,407.0382080078125,151.14076232910156,187.5800018310547,274.7486267089844,94.71739196777344,4995.06005859375
2024-02-08,186.38377380371094,169.83999633789062,144.71392822265625,146.31983947753906,167.45968627929688,407.0971984863281,150.684814453125,189.55999755859375,271.7043151855469,96.33895111083984,4997.91015625
2024-02-09,187.1468048095703,174.4499969482422,147.77859497070312,146.6566619873047,167.6608428955078,413.4281005859375,149.52601623535156,193.57000732421875,272.34466552734375,94.3004150390625,5026.60986328125
2024-02-12,185.4621124267578,172.33999633789062,146.3206787109375,147.67642211914062,168.40809631347656,408.2277526855469,149.23155212402344,188.1300048828125,271.00482177734375,95.59767150878906,5021.83984375
2024-02-13,183.3711700439453,168.63999938964844,143.9502716064453,146.38534545898438,166.94236755371094,399.43914794921875,148.43368530273438,184.02000427246094,271.73388671875,94.7746810913086,4953.169921875
2024-02-14,182.48919677734375,170.97999572753906,144.7436981201172,145.70240783691406,168.63800048828125,403.29986572265625,147.8257598876953,188.7100067138672,273.4580078125,94.30706024169922,5000.6201171875
2024-02-15,182.20181274414062,169.8000030517578,141.59967041015625,147.74188232421875,172.31678771972656,400.41412353515625,149.13656616210938,200.4499969482422,276.8274230957031,97.00984954833984,5029.72998046875
2024-02-16,180.66580200195312,169.50999450683594,139.36814880371094,147.5721893310547,171.51205444335938,397.9519348144531,149.6114959716797,199.9499969482422,274.4432067871094,97.00984954833984,5005.56982421875
2024-02-20,179.92254638671875,167.0800018310547,139.9632110595703,148.8070831298828,172.1826171875,396.7011413574219,150.56134033203125,193.75999450683594,271.08355712890625,96.09332275390625,4975.509765625
2024-02-21,180.6757049560547,168.58999633789062,141.38150024414062,149.58004760742188,173.30352783203125,396.1003723144531,152.3565673828125,194.77000427246094,272.6698303222656,98.05728149414062,4981.7998046875
2024-02-22,182.70721435546875,174.5800018310547,142.90884399414062,151.24855041503906,175.3824005126953,405.4272766113281,152.508544921875,197.41000366210938,279.5564880371094,97.9731216430664,5087.02978515625
2024-02-23,180.8739013671875,174.99000549316406,142.77992248535156,152.55885314941406,176.2637481689453,404.13702392578125,152.95498657226562,191.97000122070312,279.40869140625,97.11271667480469,5088.7998046875
2024-02-26,179.52615356445312,174.72999572753906,136.4423065185547,151.56906127929688,175.6602020263672,401.37939453125,152.18560791015625,199.39999389648438,279.9505920410156,97.49614715576172,5069.52978515625
2024-02-27,180.98287963867188,173.5399932861328,137.74156188964844,151.74815368652344,175.74644470214844,401.32025146484375,151.31173706054688,199.72999572753906,278.985107421875,97.2904052734375,5078.18017578125
2024-02-28,179.7838134765625,173.16000366210938,135.26206970214844,152.2854766845703,176.6373748779297,401.55657958984375,152.02413940429688,202.0399932861328,281.40875244140625,97.5616226196289,5069.759765625
2024-02-29,179.119873046875,176.75999450683594,137.3250274658203,152.12522888183594,178.246826171875,407.38714599609375,150.96978759765625,201.8800048828125,278.4629211425781,97.7486572265625,5096.27001953125
2024-03-01,178.0396728515625,178.22000122070312,136.0158233642578,152.82278442382812,177.5091552734375,409.21905517578125,150.88429260253906,202.63999938964844,278.9751892089844,98.98313903808594,5137.080078125
2024-03-04,173.5207977294922,177.5800018310547,132.2569122314453,150.6735382080078,178.84078979492188,408.6477966308594,151.55870056152344,188.13999938964844,276.3841247558594,97.5990219116211,5130.9501953125
2024-03-05,168.58570861816406,174.1199951171875,131.58245849609375,150.79608154296875,180.6322784423828,396.563232421875,151.3307342529297,180.74000549316406,275.2510986328125,98.79608917236328,5078.64990234375
2024-03-06,167.59475708007812,173.50999450683594,130.32286071777344,150.20220947265625,181.5711212158203,396.01171875,151.56820678710938,176.5399932861328,276.28558349609375,99.85289001464844,5104.759765625
2024-03-07,167.475830078125,176.82000732421875,133.27847290039062,149.75917053222656,179.98085021972656,402.9552001953125,152.56552124023438,178.64999389648438,274.1476135253906,100.41403198242188,5157.35986328125
2024-03-08,169.19021606445312,175.35000610351562,134.3000030517578,150.37188720703125,180.3161163330078,400.07928466796875,152.30906677246094,175.33999633789062,275.9013366699219,101.35858154296875,5123.68994140625
2024-03-11,171.19200134277344,171.9600067138672,136.54148864746094,151.98382568359375,180.38320922851562,398.40496826171875,153.4488983154297,177.77000427246094,276.4136657714844,101.9571304321289,5117.93994140625
2024-03-12,171.6676788330078,175.38999938964844,137.3647003173828,153.40724182128906,181.86810302734375,409.0023498535156,153.80984497070312,177.5399932861328,279.7240295410156,101.30247497558594,5175.27001953125
2024-03-13,169.5866241455078,176.55999755859375,138.64410400390625,151.8612823486328,183.3434295654297,408.8250732421875,154.16128540039062,169.47999572753906,280.92596435546875,102.43408203125,5165.31005859375
2024-03-14,171.43975830078125,178.75,141.92698669433594,150.0796661376953,180.07662963867188,418.7920837402344,153.4014129638672,162.5,282.1772155761719,104.2483901977539,5150.47998046875
2024-03-15,171.06317138671875,174.4199981689453,140.02272033691406,149.10870361328125,182.3087921142578,410.1251220703125,153.2874298095703,163.57000732421875,278.8570251464844,104.06134796142578,5117.08984375
2024-03-18,172.15325927734375,174.47999572753906,146.46942138671875,147.7701416015625,184.5697021484375,411.0115051269531,153.12596130371094,173.8000030517578,280.8372497558594,105.02462768554688,5149.419921875
2024-03-19,174.4919891357422,175.89999389648438,145.82476806640625,147.25172424316406,185.65223693847656,415.0396728515625,153.71485900878906,171.32000732421875,283.1033020019531,105.7634506225586,5178.509765625
2024-03-20,177.05862426757812,178.14999389648438,147.520751953125,146.82752990722656,188.0855712890625,418.80194091796875,153.86683654785156,175.66000366210938,285.00482177734375,105.6699447631836,5224.6201171875
2024-03-21,169.82443237304688,178.14999389648438,146.39010620117188,146.81809997558594,190.70091247558594,422.8793640136719,153.74337768554688,172.82000732421875,286.07867431640625,106.13753509521484,5241.52978515625
2024-03-22,170.72625732421875,178.8699951171875,149.5341033935547,146.32791137695312,188.36338806152344,422.2588195800781,153.5533905029297,170.8300018310547,279.0737609863281,106.13753509521484,5234.18017578125
2024-03-25,169.30914306640625,179.7100067138672,148.83985900878906,146.31849670410156,186.63897705078125,416.4677429199219,152.15711975097656,172.6300048828125,277.0540466308594,107.22239685058594,5218.18994140625
2024-03-26,168.17942810058594,178.3000030517578,149.43492126464844,146.8369598388672,187.51075744628906,415.27606201171875,152.49905395507812,177.6699981689453,276.4530944824219,106.41810607910156,5203.580078125
2024-03-27,171.74696350097656,179.8300018310547,149.63330078125,148.90135192871094,191.1416015625,415.0593566894531,154.4557647705078,179.8300018310547,274.8963928222656,107.52165985107422,5248.490234375
2024-03-28,169.93345642089844,180.3800048828125,149.69277954101562,149.1181640625,191.88885498046875,414.360107421875,154.11378479003906,175.7899932861328,274.9554748535156,108.7093734741211,5254.35009765625
2024-04-01,168.49655151367188,180.97000122070312,154.21543884277344,148.731689453125,190.5859832763672,418.15191650390625,152.5275421142578,175.22000122070312,274.1673583984375,109.41078186035156,5243.77001953125
2024-04-02,167.31727600097656,180.69000244140625,153.2930450439453,148.6845245361328,190.5093536376953,415.0692138671875,152.51805114746094,166.6300048828125,274.324951171875,111.55244445800781,5205.81005859375
2024-04-03,168.11996459960938,182.41000366210938,153.65008544921875,145.4135284423828,189.9728546142578,414.09417724609375,148.3197021484375,168.3800048828125,272.8668518066406,111.5711441040039,5211.490234375
